,Time,RobotPose,Landmark0,Landmark1,Landmark2,Landmark3,Actual_LinearVelocity,Actual_AngularVelocity
0,0.0,X0Y0T0,B0.7853981633974483R7.0710678118654755,B0.24497866312686423R20.615528128088304,B0.9827937232473287R18.027756377319946,B1.1071487177940904R33.54101966249684,0.0,0.0
1,1.0,X0.0Y0.0T0.0,B0.7853981633974483R7.0710678118654755,B0.24497866312686423R20.615528128088304,B0.9827937232473287R18.027756377319946,B1.1071487177940904R33.54101966249684,0.0,0.0
2,2.0,X0.0Y0.0T0.0,B0.7853981633974483R7.0710678118654755,B0.24497866312686423R20.615528128088304,B0.9827937232473287R18.027756377319946,B1.1071487177940904R33.54101966249684,0.0,0.0
3,3.0,X0.0Y0.0T0.0,B0.7853981633974483R7.0710678118654755,B0.24497866312686423R20.615528128088304,B0.9827937232473287R18.027756377319946,B1.1071487177940904R33.54101966249684,0.0,0.0
4,4.0,X0.0Y0.0T0.0,B0.7853981633974483R7.0710678118654755,B0.24497866312686423R20.615528128088304,B0.9827937232473287R18.027756377319946,B1.1071487177940904R33.54101966249684,0.0,0.0
5,5.0,X0.0Y0.0T0.0,B0.7853981633974483R7.0710678118654755,B0.24497866312686423R20.615528128088304,B0.9827937232473287R18.027756377319946,B1.1071487177940904R33.54101966249684,0.0,0.0
6,6.0,X0.4915353881161426Y0.0T0.0,B0.8370466957227816R6.732477490241542,B0.25089829224961324R20.13902161260881,B1.0058242787495653R17.759811352473527,B1.1203420340400623R33.3240985683677,0.4915353881161426,0.0
7,7.0,X0.9975490465734593Y0.0T0.0,B0.8957565592752363R6.404655621857043,B0.25729197069943677R19.64925296893959,B1.0302566904093151R17.494116815914154,B1.1341020809405347R33.10692726157346,0.5060136584573167,0.0
8,8.0,X1.5021654830622206Y0.0T0.0,B0.960361090418818R6.102036242753836,B0.2639932092527828R19.16167742698991,B1.055356601950976R17.239872142137802,B1.1480024295339115R32.896679720704896,0.5046164364887612,0.0
9,9.0,X2.0075931895234733Y0.0T0.0,B1.0314942202173292R5.827048868800252,B0.27105567790787033R18.674225628755856,B1.0812331935598918R16.996428054863514,B1.162101609835414R32.69254708230787,0.5054277064612529,0.0
10,10.0,X2.50330728673847Y0.0T0.0,B1.1076780236681314R5.58869166303288,B0.27834958903833407R18.197094710483295,B1.1073251219761584R16.769031028567767,B1.1760991455428318R32.498728110030456,0.49571409721499626,0.0
