,Time,LandmarkPinger_Landmark0,LandmarkPinger_Landmark1,LandmarkPinger_Landmark2,LandmarkPinger_Landmark3,GPS,CMD_LinearVelocity,CMD_AngularVelocity
0,0.0,"BearingRange(bearing=0.7528136303602394, range=7.44628024415189)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","Position(x=0.3923156385988727, y=-0.04611155453330789)",0.0,0.0
1,1.0,"BearingRange(bearing=0.6909688531598551, range=6.98711907553858)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)",,0.0,0.0
2,2.0,"BearingRange(bearing=0.6600328806318896, range=7.022555814872847)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","Position(x=-0.4667161074235469, y=0.41478196438857445)",0.0,0.0
3,3.0,"BearingRange(bearing=0.750020380632276, range=7.066376412136423)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)",,0.0,0.0
4,4.0,"BearingRange(bearing=0.8445002876747875, range=6.870564350986402)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","Position(x=0.298198120416163, y=-0.20348121618506182)",0.0,0.0
5,5.0,"BearingRange(bearing=0.6680280609439233, range=7.135827022872086)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)",,0.0,0.0
6,6.0,"BearingRange(bearing=0.9012347099166513, range=6.654703858811515)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","Position(x=0.26420736493296637, y=-0.4283760674656571)",0.5,0.0
7,7.0,"BearingRange(bearing=1.1614541933969729, range=5.959587630675258)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)",,0.5,0.0
8,8.0,"BearingRange(bearing=0.9814725996946508, range=6.407827871626217)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","Position(x=1.3810530380730555, y=-0.7873066662905728)",0.5,0.0
9,9.0,"BearingRange(bearing=0.9211321002692988, range=5.81122351727072)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)",,0.5,0.0
10,10.0,"BearingRange(bearing=1.0184215570204669, range=5.664564862486557)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","BearingRange(bearing=inf, range=inf)","Position(x=2.611039371172305, y=0.22248564531706122)",0.5,0.0
